number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
385,D11,HNX,2020Q2,5.25,-63.2,22,801,"2,846.00",6.3,not audited,separated,6/8/2020,billion,dong
386,L35,HNX,2020Q2,0.04,-84.2,na,13,22,290.9,not audited,separated,6/8/2020,billion,dong
387,NLG,HOSE,2020Q2,178.67,-32.8,22,728,"3,555.00",7.2,not audited,consolidated,6/8/2020,billion,dong
388,L62,HNX,2020Q2,0.61,-41.9,20,73,105,66.7,not audited,consolidated,6/8/2020,billion,dong
389,NTL,HOSE,2020Q2,54.3,-55,16,890,"2,766.00",5.5,not audited,separated,6/8/2020,billion,dong
390,SDT,HNX,2020Q2,2.62,174,12,61,200,17,not audited,consolidated,6/8/2020,billion,dong
391,NTP,HNX,2020Q2,204.13,-6.7,58,"2,153.00","4,160.00",7,not audited,consolidated,6/8/2020,billion,dong
392,NSC,HOSE,2020Q2,91.61,-17.9,49,"5,213.00","10,349.00",6.1,not audited,consolidated,6/8/2020,billion,dong
393,BMP,HOSE,2020Q2,256.95,23.4,59,"3,139.00","5,760.00",8.9,not audited,consolidated,6/8/2020,billion,dong
394,TCR,HOSE,2020Q2,-21.66,na,na,-481,839,3.4,not audited,consolidated,6/8/2020,billion,dong
395,FDC,HOSE,2020Q2,-1.8,-102.8,-5,-47,19,660.5,not audited,consolidated,6/8/2020,billion,dong
396,PSD,HNX,2020Q2,30.57,8,67,998,"1,703.00",5.3,not audited,consolidated,6/8/2020,billion,dong
397,MED,HNX,2020Q2,10.43,na,30,"1,666.00",na,na,not audited,separated,6/8/2020,billion,dong
398,HU1,HOSE,2020Q2,1.85,2.7,25,185,912,6.5,not audited,consolidated,6/8/2020,billion,dong
399,TV2,HOSE,2020Q2,94.43,-32.8,63,"4,166.00","9,272.00",7.6,not audited,separated,6/8/2020,billion,dong
400,SDU,HNX,2020Q2,1.77,259.6,na,89,198,31.8,not audited,consolidated,6/8/2020,billion,dong
401,RDP,HOSE,2020Q2,6.63,137.5,9,183,"1,586.00",4.3,not audited,consolidated,6/8/2020,billion,dong
402,PPP,HNX,2020Q2,4.97,39.6,59,565,"1,542.00",8.6,not audited,consolidated,6/8/2020,billion,dong
